title,date,category
Frustratingly Easy Meta-Embedding -- Computing Meta-Embeddings by Averaging Source Word Embeddings,2018-04-14 18:30:01+00:00,cs.CL
Learning Meta-Embeddings by Using Ensembles of Embedding Sets,2015-08-18 09:29:22+00:00,cs.CL
Discrete Word Embedding for Logical Natural Language Understanding,2020-08-26 16:15:18+00:00,cs.CL
Hash Embeddings for Efficient Word Representations,2017-09-12 16:13:10+00:00,cs.CL
Gender Bias in Meta-Embeddings,2022-05-19 21:20:47+00:00,cs.CL
Neural-based Noise Filtering from Word Embeddings,2016-10-06 13:52:52+00:00,cs.CL
Dynamic Bernoulli Embeddings for Language Evolution,2017-03-23 13:00:14+00:00,stat.ML
Domain Adapted Word Embeddings for Improved Sentiment Classification,2018-05-11 19:58:59+00:00,cs.CL
Locked and unlocked smooth embeddings of surfaces,2022-06-26 22:57:15+00:00,cs.CG
Learning Meta Word Embeddings by Unsupervised Weighted Concatenation of Source Embeddings,2022-04-26 15:41:06+00:00,cs.CL
Towards Better Understanding with Uniformity and Explicit Regularization of Embeddings in Embedding-based Neural Topic Models,2022-06-16 07:02:55+00:00,cs.CL
Warped embeddings between Einstein manifolds,2010-02-04 15:11:42+00:00,hep-th
Unfaithful embedding of causal sets,2010-06-10 19:55:42+00:00,physics.gen-ph
CoMeta: Enhancing Meta Embeddings with Collaborative Information in Cold-start Problem of Recommendation,2023-03-14 03:03:19+00:00,cs.IR
Embedding graphs into embedded graphs,2016-08-06 09:46:54+00:00,cs.CG
Minimal surfaces in $\mathbb{R}^4$ like the Lagrangian catenoid,2021-01-18 01:58:41+00:00,math.DG
Locally Isometric Embeddings of Quotients of the Rotation Group Modulo Finite Symmetries,2020-07-19 12:53:50+00:00,math-ph
Embedded Pattern Matching,2021-08-30 10:47:19+00:00,cs.PL
Identifying and Mitigating Instability in Embeddings of the Degenerate Core,2022-05-21 17:49:29+00:00,cs.SI
"Think Globally, Embed Locally --- Locally Linear Meta-embedding of Words",2017-09-19 22:58:02+00:00,cs.CL
A Survey on Network Embedding,2017-11-23 15:58:08+00:00,cs.SI
Quantile-Quantile Embedding for Distribution Transformation and Manifold Embedding with Ability to Choose the Embedding Distribution,2020-06-19 21:09:09+00:00,stat.ML
Transformation of Node to Knowledge Graph Embeddings for Faster Link Prediction in Social Networks,2021-11-17 04:57:41+00:00,cs.SI
Unsupervised Attention-based Sentence-Level Meta-Embeddings from Contextualised Language Models,2022-04-16 08:20:24+00:00,cs.CL
Recent Advances in Embedding Methods for Multi-Object Tracking: A Survey,2022-05-22 06:54:33+00:00,cs.CV
Instance Smoothed Contrastive Learning for Unsupervised Sentence Embedding,2023-05-12 12:46:13+00:00,cs.CL
OptEmbed: Learning Optimal Embedding Table for Click-through Rate Prediction,2022-08-09 01:09:52+00:00,cs.IR
From Node Embedding To Community Embedding,2016-10-31 14:50:41+00:00,cs.SI
Learning to Embed Categorical Features without Embedding Tables for Recommendation,2020-10-21 06:37:28+00:00,cs.LG
Embeddings With Multiple Regularity,2005-06-09 15:56:14+00:00,math.DG
Total embedding distributions of Ringel ladders,2010-11-17 02:43:50+00:00,math.CO
Some Singular Limit Laminations of Embedded Minimal Planar Domains,2011-07-19 19:41:09+00:00,math.DG
Improving success probability and embedding efficiency in code based steganography,2013-02-08 14:35:44+00:00,cs.IT
Embedding theorems for quasitoric manifolds,2015-06-15 09:18:35+00:00,math.AT
Isometric embeddings of graphs into Riemannian manifolds,2018-04-19 13:14:14+00:00,math.MG
Orientable Hamiltonian Embeddings of the Hypercube Graph,2020-01-26 01:20:27+00:00,math.CO
Relative Embedded Homology of Hypergraphs,2021-02-08 02:29:11+00:00,math.AT
Embedding theorems for discrete dynamical systems and topological flows,2020-11-10 14:42:54+00:00,math.DS
Embedding hypercubes into torus and Cartesian product of paths and cycles for minimizing wirelength,2023-02-26 05:10:57+00:00,math.CO
Online embedding of metrics,2023-03-28 12:58:18+00:00,cs.CG
Linkless embeddings of graphs in $3$-space,1993-01-01 00:00:00+00:00,math.CO
Learning Structured Semantic Embeddings for Visual Recognition,2017-06-05 08:43:23+00:00,cs.CV
Learning Numeral Embeddings,2019-12-28 03:15:43+00:00,cs.CL
Hybrid Improved Document-level Embedding (HIDE),2020-06-01 19:09:13+00:00,cs.CL
Blind signal decomposition of various word embeddings based on join and individual variance explained,2020-11-30 01:36:29+00:00,cs.CL
Improving Entity Linking through Semantic Reinforced Entity Embeddings,2021-06-16 00:27:56+00:00,cs.CL
